year,month,avgTemp,maxTemp,minTemp,precipitation,humidity,windSpeed,solarIrradiance,cloudCover,co2Concentration,latitude,longitude,altitude,proximityToWater,urbanizationIndex,vegetationIndex,ensoIndex,particulateMatter,seaSurfaceTemp
2022,January,5.2,12.5,-1.8,45.6,68.2,12.3,4.5,45.6,415.2,40.7128,-74.0060,10.5,5.2,85.6,35.2,1.2,18.5,12.3
2022,February,6.8,14.2,0.9,38.2,65.7,14.1,5.1,38.9,416.8,40.7128,-74.0060,10.5,5.2,85.6,36.8,1.5,17.8,13.1
2022,March,9.5,17.3,3.2,52.7,72.3,15.2,6.8,42.5,417.5,40.7128,-74.0060,10.5,5.2,85.6,42.3,1.7,16.9,14.8
2022,April,13.2,22.6,5.7,68.9,75.6,12.8,7.9,35.6,418.1,40.7128,-74.0060,10.5,5.2,85.6,52.1,0.8,15.6,16.2
2022,May,18.7,28.4,10.2,72.3,68.9,10.5,8.7,28.9,419.2,40.7128,-74.0060,10.5,5.2,85.6,68.5,0.3,14.8,19.5
2022,June,23.5,32.1,15.6,45.2,65.2,9.8,9.2,22.5,420.5,40.7128,-74.0060,10.5,5.2,85.6,72.3,-0.2,14.2,22.8
2022,July,26.8,34.9,19.2,38.7,62.8,8.6,9.5,18.2,421.3,40.7128,-74.0060,10.5,5.2,85.6,71.5,-0.5,13.9,25.6
2022,August,25.2,33.5,18.7,42.5,64.5,8.9,9.0,20.8,421.8,40.7128,-74.0060,10.5,5.2,85.6,68.9,-0.3,14.1,26.2
2022,September,20.8,29.7,13.5,58.9,69.2,10.2,8.1,32.5,422.4,40.7128,-74.0060,10.5,5.2,85.6,60.5,0.1,14.5,24.8
2022,October,15.3,23.8,8.2,65.6,74.5,11.5,7.2,45.6,423.1,40.7128,-74.0060,10.5,5.2,85.6,48.2,0.5,15.2,21.3
2022,November,9.8,17.2,3.5,78.2,79.8,13.2,5.3,56.8,423.8,40.7128,-74.0060,10.5,5.2,85.6,38.5,0.9,16.3,17.8
2022,December,4.5,11.5,-2.5,62.5,72.5,14.8,4.2,62.3,424.5,40.7128,-74.0060,10.5,5.2,85.6,32.1,1.1,17.2,14.5
2023,January,5.5,13.0,-1.6,48.2,67.8,13.1,4.6,46.2,425.8,37.7749,-122.4194,52.0,0.5,92.3,33.5,1.3,19.2,13.1
2023,February,7.2,14.8,1.2,40.5,66.2,14.5,5.3,39.5,426.5,37.7749,-122.4194,52.0,0.5,92.3,35.2,1.6,18.5,14.2
2023,March,9.8,18.1,3.5,55.2,71.8,15.8,7.0,43.2,427.2,37.7749,-122.4194,52.0,0.5,92.3,41.8,1.8,17.8,15.5
